325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datum,Typ,Uppgift,#M,#O,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14 06:56:57,create,6,-,uppgift,1,0,0,.,0m,2.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13 09:46:59,create,−2,uppgift,5,2,4,20m,35.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13 09:46:54,create,−2,uppgift,6,0,0,0m,3.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13 09:45:32,create,2,uppgift,1,4,8,1m,17.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13 09:42:49,create,2,-,uppgift,5,5,10,2m,38.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13 09:41:07,create,−2,uppgift,5,3,6,1m,37.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13 09:40:10,create,−2,uppgift,6,2,4,0m,55.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13 09:36:15,create,2,-,uppgift,3,9,18,3m,52.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13 09:33:40,create,−2,uppgift,4,6,12,2m,30.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 12:25:07,create,−1,uppgift,7,9,9,3m,35.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 12:20:27,create,1,-,uppgift,5,14,14,4m,38.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 12:18:43,create,4,-,uppgift,5,2,10,1m,31.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 12:15:52,create,3a,-,uppgift,9,5,15,2m,46.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 12:13:45,create,3a,-,uppgift,8,4,.,12,2m,5.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 12:12:10,create,3a,uppgift,7,3,9,1m,32.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 12:10:47,create,3a,-,uppgift,6,3,9,1m,21.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 12:09:52,create,3a,-,uppgift,5,2,6,0m,53.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 12:08:16,create,3a,-,uppgift,4,3,9,1m,33.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 12:06:42,create,3a,-,uppgift,3,4,12,1m,32.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 12:05:56,create,3a,-,uppgift,1,2,6,0m,44.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11 12:05:09,create,3a,-,uppgift,2,2,6,0m,45.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10 01:32:36,create,3b,-,uppgift,5,4,12,3m,18.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10 01:32:05,create,3b,-,uppgift,13,1,3,0m,27.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10 01:31:38,create,3b-,uppgift,7,1,3,0m,23.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10 01:28:25,create,3b,-,uppgift,3,7,21,3m,9.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10 01:28:16,create,−1,uppgift,5,0,0,0m,2.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10 01:27:39,create,−1,uppgift,2,3,3,0m,36.1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10 01:26:35,create,−2,uppgift,6,2,4,0m,38.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08 11:01:23,create,3b,-,uppgift,13,3,9,1m,18.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08 10:59:28,create,3b-,uppgift,10,2,6,1m,47.9s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08 10:58:03,create,3b-,uppgift,11,3,.,9,1m,23.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08 10:56:03,create,3b-,uppgift,4,3,9,1m,53.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08 10:51:03,create,3b-,uppgift,7,4,12,4m,54.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07 12:38:56,create,4,-,uppgift,1,4,16,2m,22.2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07 12:35:28.create.4,-,uppgift,5.5...25...3m,26.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07 12:35:28,create,4,-,uppgift,5,5,25,3m,26.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07 12:28:12,create,4,-,uppgift,4,7,21,7m,14.0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07 12:25:22,create,−4,uppgift,3,4,8,.,2m,48.5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07 12:21:45,create,4,-,uppgift,2,4,16,3m,34.3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30 01:41:12,create,−4,uppgift,1,1,4,Om,20.8s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30 01:36:35,create,4,-,uppgift,2,5,20,4m,31.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30 01:36:32,create,−4,uppgift,1,0,.,0,.,0m,1.6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30 01:32:51,create,4,-,uppgift,2,8,32,3m,39.7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-18 10:18:00,create,4,uppgift,1,0,0,Om,1.4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
